t,x,y,psi,u,v,r,u_d,psi_deg,psi_d_deg,xte_m,F_port_kgf,F_stbd_kgf,tau_u_N,tau_r_Nm,tau_u_cmd_N,tau_r_cmd_Nm,wp_idx
5.476000000000296097e+01,3.145847289256729518e+00,1.498512492096700477e+01,3.136857794293573143e+00,7.679863807161452227e-01,4.693923104534923353e-06,4.128704925311947766e-06,7.999999999835465392e-01,1.797287125457383183e+02,1.797290800161833602e+02,1.487507903299523093e-02,5.963367120454611259e-01,5.963468593653186156e-01,1.169623034557552188e+01,1.990224285606245961e-05,1.169623034557552188e+01,1.990224285592716812e-05,2.000000000000000000e+00
5.478000000000296410e+01,3.130487238543247397e+00,1.498519755527733643e+01,3.136857876338861928e+00,7.680355802352610839e-01,4.634161664298750520e-06,4.076496227911508069e-06,7.999999999839573217e-01,1.797287172465870810e+02,1.797290801004257332e+02,1.480244472266356581e-02,5.964194617398975717e-01,5.964294823545318591e-01,1.169785209760363642e+01,1.965373210062182420e-05,1.169785209760363642e+01,1.965373210077775280e-05,2.000000000000000000e+00
5.480000000000296723e+01,3.115126204654134590e+00,1.498527019417807793e+01,3.136857957347009229e+00,7.680846997580798030e-01,4.575166664824551033e-06,4.024982326044598879e-06,7.999999999843577791e-01,1.797287218880120463e+02,1.797290801844225996e+02,1.472980582192207066e-02,5.965020936641173277e-01,5.965119891390794349e-01,1.169947155512196879e+01,1.940829190729687206e-05,1.169947155512196879e+01,1.940829190719411002e-05,2.000000000000000000e+00
5.482000000000297035e+01,3.099764189187856900e+00,1.498534283766209541e+01,3.136858037331814675e+00,7.681337394284268871e-01,4.516928342776474688e-06,3.974153652297850673e-06,7.999999999847481336e-01,1.797287264708038208e+02,1.797290802681783077e+02,1.465716233790459455e-02,5.965846079867109797e-01,5.965943798675182874e-01,1.170108872124067645e+01,1.916588298378485433e-05,1.170108872124067645e+01,1.916588298373875202e-05,2.000000000000000000e+00
5.484000000000297348e+01,3.084401193740006875e+00,1.498541548572225679e+01,3.136858116306886934e+00,7.681826993898255296e-01,4.459437056463879058e-06,3.924000740543880461e-06,7.999999999851286070e-01,1.797287309957421257e+02,1.797290803516969504e+02,1.458451427774321019e-02,5.966670048759142864e-01,5.966766546883910394e-01,1.170270359906629487e+01,1.892646670498265848e-05,1.170270359906629487e+01,1.892646670495659697e-05,2.000000000000000000e+00
5.486000000000297661e+01,3.069037219903309577e+00,1.498548813835143001e+01,3.136858194285646384e+00,7.682315797854976092e-01,4.402683284233041775e-06,3.874514226952243400e-06,7.999999999854996435e-01,1.797287354635959389e+02,1.797290804349825351e+02,1.451186164856999028e-02,5.967492844996107326e-01,5.967588137502248813e-01,1.170431619170174997e+01,1.869000510694718558e-05,1.170431619170174997e+01,1.869000510682569395e-05,2.000000000000000000e+00
5.488000000000297973e+01,3.053672269267628803e+00,1.498556079554248477e+01,3.136858271281327770e+00,7.682803807583643563e-01,4.346657622891791057e-06,3.825684851055209459e-06,7.999999999858612432e-01,1.797287398751235230e+02,1.797290805180389270e+02,1.443920445751523118e-02,5.968314470253376358e-01,5.968408572015204694e-01,1.170592650224631726e+01,1.845646085278929420e-05,1.170592650224631726e+01,1.845646085265131931e-05,2.000000000000000000e+00
5.490000000000298286e+01,3.038306343419972411e+00,1.498563345728829432e+01,3.136858347306981099e+00,7.683291024510471301e-01,4.291350786165830517e-06,3.777503456489763854e-06,7.999999999862137390e-01,1.797287442310725964e+02,1.797290806008697359e+02,1.436654271170567654e-02,5.969134926202889213e-01,5.969227851907550342e-01,1.170753453379567333e+01,1.822579723231854132e-05,1.170753453379567333e+01,1.822579723239153184e-05,2.000000000000000000e+00
5.492000000000298598e+01,3.022939443944498983e+00,1.498570612358173015e+01,3.136858422375474298e+00,7.683777450058683067e-01,4.236753603185729097e-06,3.729960991862036360e-06,7.999999999865573530e-01,1.797287485321804468e+02,1.797290806834785712e+02,1.429387641826984634e-02,5.969954214513196744e-01,5.970045978663747199e-01,1.170914028944186747e+01,1.799797814001635811e-05,1.170914028944186747e+01,1.799797814011548129e-05,2.000000000000000000e+00
5.494000000000298911e+01,3.007571572422523598e+00,1.498577879441566907e+01,3.136858496499495441e+00,7.684263085648517233e-01,4.182857017003923927e-06,3.683048511442514192e-06,7.999999999868923073e-01,1.797287527791740160e+02,1.797290807658688152e+02,1.422120558433093152e-02,5.970772336849499151e-01,5.970862953767918091e-01,1.171074377227332874e+01,1.777296806011463627e-05,1.171074377227332874e+01,1.777296806021680877e-05,2.000000000000000000e+00
