t,x,y,psi,u,v,r,tau_u_N,tau_r_Nm,F_port_kgf,F_stbd_kgf
1.860000000000000098e+00,1.642906441150165708e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129074609961479903e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.880000000000000115e+00,1.665488427202594712e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129123140394439062e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.900000000000000133e+00,1.688071334377272192e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129166807765099367e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.919999999999999929e+00,1.710655070367151476e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129206098942065362e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.939999999999999947e+00,1.733239552107452175e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129241452134882584e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.959999999999999964e+00,1.755824704851792539e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129273261741142287e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
1.979999999999999982e+00,1.778410461340383275e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129301882713804384e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.000000000000000000e+00,1.800996761051165240e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129327634495643107e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.020000000000000018e+00,1.823583549525664482e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129350804563250987e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.040000000000000036e+00,1.846170777762144333e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129371651618962469e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
2.060000000000000053e+00,1.868758401669369018e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129390408465367646e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.569620599999999655e+01,0.000000000000000000e+00,1.820000000000000062e+00,1.820000000000000062e+00
